id,cmgroup,age,struc
1619,420,3,artproc
1620,430,4,artproc
1621,290,2,artproc
1622,650,9,artproc
1623,210,1,artproc
1624,210,1,artproc
1625,210,1,artproc
1626,210,2,artproc
1627,210,2,artproc
1628,210,2,artproc
1629,220,2,artproc
1630,220,2,artproc
1631,220,1,artproc
1632,220,2,artproc
1633,220,2,artproc
1634,220,2,artproc
1635,220,2,artproc
1636,220,1,artproc
1637,220,1,artproc
1638,220,2,artproc
1639,220,1,artproc
1640,220,2,artproc
1641,220,1,artproc
1642,220,2,artproc
1643,220,2,artproc
1644,220,2,artproc
1645,220,2,artproc
1646,230,1,artproc
1647,230,1,artproc
1648,230,2,artproc
1649,230,2,artproc
1650,230,1,artproc
1651,230,2,artproc
1652,230,1,artproc
1653,230,2,artproc
1654,230,2,artproc
1655,230,2,artproc
1656,230,1,artproc
1657,230,2,artproc
1658,230,1,artproc
1659,230,1,artproc
1660,230,1,artproc
1661,240,1,artproc
1662,240,2,artproc
1663,240,2,artproc
1664,240,2,artproc
1665,240,1,artproc
1666,240,2,artproc
1667,240,2,artproc
1668,240,2,artproc
1669,240,2,artproc
1670,240,2,artproc
1671,240,1,artproc
1672,240,1,artproc
1673,240,1,artproc
1674,240,2,artproc
1675,250,2,artproc
1676,250,2,artproc
1677,250,2,artproc
1678,250,2,artproc
1679,250,1,artproc
1680,250,2,artproc
1681,250,2,artproc
1682,250,2,artproc
1683,250,2,artproc
1684,250,2,artproc
1685,260,2,artproc
1686,260,2,artproc
1687,260,3,artproc
1688,260,2,artproc
1689,260,1,artproc
1690,260,2,artproc
1691,260,2,artproc
1692,270,2,artproc
1693,270,3,artproc
1694,270,3,artproc
1695,270,2,artproc
1696,270,2,artproc
1697,270,2,artproc
1698,270,2,artproc
1699,270,2,artproc
1700,270,2,artproc
1701,270,2,artproc
1702,270,2,artproc
1703,270,2,artproc
1704,270,2,artproc
1705,270,1,artproc
1706,270,2,artproc
1707,270,2,artproc
1708,270,1,artproc
1709,270,1,artproc
1710,280,2,artproc
1711,280,2,artproc
1712,280,3,artproc
1713,280,2,artproc
1714,280,2,artproc
1715,280,1,artproc
1716,280,2,artproc
1717,280,2,artproc
1718,280,3,artproc
1719,290,2,artproc
1720,290,2,artproc
1721,400,3,artproc
1722,400,3,artproc
1723,430,8,artproc
1724,430,3,artproc
1725,430,3,artproc
1726,460,5,artproc
1727,460,6,artproc
1728,460,4,artproc
1729,460,7,artproc
1730,480,6,artproc
1731,480,6,artproc
1732,480,6,artproc
1733,200,1,artproc
1734,200,1,artproc
1735,200,1,artproc
1736,200,1,artproc
1737,210,2,artproc
1738,210,1,artproc
1739,210,1,artproc
1740,210,1,artproc
1741,210,2,artproc
1742,210,1,artproc
1743,210,1,artproc
1744,210,1,artproc
1745,210,1,artproc
1746,210,1,artproc
1747,210,2,artproc
1748,210,1,artproc
1749,210,2,artproc
1750,210,1,artproc
1751,210,1,artproc
1752,220,2,artproc
1753,220,1,artproc
1754,220,2,artproc
1755,220,2,artproc
1756,220,2,artproc
1757,220,1,artproc
1758,220,1,artproc
1759,220,1,artproc
1760,220,1,artproc
1761,220,2,artproc
1762,220,1,artproc
1763,220,2,artproc
1764,220,1,artproc
1765,220,2,artproc
1766,220,1,artproc
1767,220,2,artproc
1768,220,1,artproc
1769,220,1,artproc
1770,220,2,artproc
1771,220,2,artproc
1772,220,1,artproc
1773,220,2,artproc
1774,230,1,artproc
1775,230,1,artproc
1776,230,2,artproc
1777,230,1,artproc
1778,230,2,artproc
1779,230,2,artproc
1780,230,2,artproc
1781,230,2,artproc
1782,230,1,artproc
1783,230,2,artproc
1784,230,1,artproc
1785,230,2,artproc
1786,230,1,artproc
1787,230,3,artproc
1788,230,1,artproc
1789,230,2,artproc
1790,230,2,artproc
1791,230,2,artproc
1792,230,1,artproc
1793,230,2,artproc
1794,240,1,artproc
1795,240,2,artproc
1796,240,1,artproc
1797,240,3,artproc
1798,240,1,artproc
1799,250,2,artproc
1800,250,2,artproc
1801,250,2,artproc
1802,260,2,artproc
