id,tl,structure,age,cmgroup
1819,NA,NA,NA,170
1820,NA,NA,NA,170
1821,NA,NA,NA,170
1822,NA,NA,NA,170
1823,NA,NA,NA,180
1824,NA,NA,NA,180
1825,NA,NA,NA,230
1826,NA,NA,NA,230
1827,NA,NA,NA,430
1828,NA,NA,NA,430
1829,NA,NA,NA,220
1830,NA,NA,NA,220
1831,NA,NA,NA,170
1832,NA,NA,NA,170
1833,NA,NA,NA,220
1834,NA,NA,NA,220
1835,NA,NA,NA,230
1836,NA,NA,NA,230
1837,NA,NA,NA,230
1838,NA,NA,NA,240
1839,NA,NA,NA,240
1840,NA,NA,NA,240
1841,NA,NA,NA,240
1842,NA,NA,NA,220
1843,NA,NA,NA,220
1844,NA,NA,NA,230
1845,NA,NA,NA,230
1846,NA,NA,NA,270
1847,NA,NA,NA,270
1848,NA,NA,NA,280
1849,NA,NA,NA,280
1850,NA,NA,NA,280
1851,NA,NA,NA,290
1852,NA,NA,NA,290
1853,NA,NA,NA,210
1854,NA,NA,NA,210
1855,NA,NA,NA,220
1856,NA,NA,NA,220
1857,NA,NA,NA,220
1858,NA,NA,NA,220
1859,NA,NA,NA,220
1860,NA,NA,NA,220
1861,NA,NA,NA,220
1862,NA,NA,NA,220
1863,NA,NA,NA,220
1864,NA,NA,NA,220
1865,NA,NA,NA,220
1866,NA,NA,NA,230
1867,NA,NA,NA,230
1868,NA,NA,NA,230
1869,NA,NA,NA,230
1870,NA,NA,NA,230
1871,NA,NA,NA,230
1872,NA,NA,NA,230
1873,NA,NA,NA,230
1874,NA,NA,NA,230
1875,NA,NA,NA,230
1876,NA,NA,NA,230
1877,NA,NA,NA,230
1878,NA,NA,NA,230
1879,NA,NA,NA,240
1880,NA,NA,NA,240
1881,NA,NA,NA,240
1882,NA,NA,NA,240
1883,NA,NA,NA,250
1884,NA,NA,NA,250
1885,NA,NA,NA,250
1886,NA,NA,NA,250
1887,NA,NA,NA,250
1888,NA,NA,NA,250
1889,NA,NA,NA,250
1890,NA,NA,NA,250
1891,NA,NA,NA,260
1892,NA,NA,NA,260
1893,NA,NA,NA,260
1894,NA,NA,NA,260
1895,NA,NA,NA,260
1896,NA,NA,NA,260
1897,NA,NA,NA,260
1898,NA,NA,NA,270
1899,NA,NA,NA,270
1900,NA,NA,NA,270
1901,NA,NA,NA,270
1902,NA,NA,NA,270
1903,NA,NA,NA,270
1904,NA,NA,NA,270
1905,NA,NA,NA,270
1906,NA,NA,NA,270
1907,NA,NA,NA,270
1908,NA,NA,NA,280
1909,NA,NA,NA,280
1910,NA,NA,NA,280
1911,NA,NA,NA,280
1912,NA,NA,NA,280
1913,NA,NA,NA,280
1914,NA,NA,NA,280
1915,NA,NA,NA,280
1916,NA,NA,NA,290
1917,NA,NA,NA,290
1918,NA,NA,NA,290
1919,NA,NA,NA,290
1920,NA,NA,NA,300
1921,NA,NA,NA,300
1922,NA,NA,NA,300
1923,NA,NA,NA,330
1924,NA,NA,NA,330
1925,NA,NA,NA,440
1926,NA,NA,NA,440
1927,NA,NA,NA,440
1928,NA,NA,NA,440
1929,NA,NA,NA,180
1930,NA,NA,NA,180
1931,NA,NA,NA,180
1932,NA,NA,NA,220
1933,NA,NA,NA,220
1934,NA,NA,NA,230
1935,NA,NA,NA,230
1936,NA,NA,NA,250
1937,NA,NA,NA,250
1938,NA,NA,NA,270
1939,NA,NA,NA,270
1940,NA,NA,NA,270
1941,NA,NA,NA,270
1942,NA,NA,NA,280
1943,NA,NA,NA,280
1944,NA,NA,NA,280
1945,NA,NA,NA,290
1946,NA,NA,NA,290
1947,NA,NA,NA,390
1948,NA,NA,NA,390
1949,NA,NA,NA,420
1950,NA,NA,NA,420
1951,NA,NA,NA,220
1952,NA,NA,NA,220
1953,NA,NA,NA,220
1954,NA,NA,NA,220
1955,NA,NA,NA,240
1956,NA,NA,NA,240
1957,NA,NA,NA,170
1958,NA,NA,NA,170
1959,NA,NA,NA,180
1960,NA,NA,NA,180
1961,NA,NA,NA,180
1962,NA,NA,NA,220
1963,NA,NA,NA,220
1964,NA,NA,NA,220
1965,NA,NA,NA,220
1966,NA,NA,NA,220
1967,NA,NA,NA,220
1968,NA,NA,NA,220
1969,NA,NA,NA,220
1970,NA,NA,NA,220
1971,NA,NA,NA,220
1972,NA,NA,NA,220
1973,NA,NA,NA,230
1974,NA,NA,NA,230
1975,NA,NA,NA,270
1976,NA,NA,NA,270
1977,NA,NA,NA,280
1978,NA,NA,NA,280
1979,NA,NA,NA,210
1980,NA,NA,NA,210
1981,NA,NA,NA,210
1982,NA,NA,NA,220
1983,NA,NA,NA,220
1984,NA,NA,NA,220
1985,NA,NA,NA,220
1986,NA,NA,NA,220
1987,NA,NA,NA,220
1988,NA,NA,NA,220
1989,NA,NA,NA,220
1990,NA,NA,NA,220
1991,NA,NA,NA,220
1992,NA,NA,NA,220
1993,NA,NA,NA,220
1994,NA,NA,NA,230
